arxiv_id,title,category,year
1706.03762,Attention Is All You Need,Transformers & Attention,2017
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers,Transformers & Attention,2018
1909.11942,ALBERT: A Lite BERT for Self-supervised Learning,Transformers & Attention,2019
2003.10555,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Transformers & Attention,2019
1910.10683,Exploring the Limits of Transfer Learning with T5,Transformers & Attention,2019
2005.00743,Longformer: The Long-Document Transformer,Transformers & Attention,2020
2001.04451,Reformer: The Efficient Transformer,Transformers & Attention,2020
2009.14794,Big Bird: Transformers for Longer Sequences,Transformers & Attention,2020
2103.1403,Swin Transformer: Hierarchical Vision Transformer,Transformers & Attention,2021
2010.11929,An Image is Worth 16x16 Words: ViT,Transformers & Attention,2020
2107.14795,BEiT: BERT Pre-Training of Image Transformers,Transformers & Attention,2021
2111.06377,Masked Autoencoders Are Scalable Vision Learners,Transformers & Attention,2021
2203.15556,Training language models to follow instructions: InstructGPT,Transformers & Attention,2022
1508.04025,Effective Approaches to Attention-based Neural Machine Translation,Transformers & Attention,2015
1409.0473,Neural Machine Translation by Jointly Learning to Align,Transformers & Attention,2014
2204.02311,PaLM: Scaling Language Modeling with Pathways,Transformers & Attention,2022
2205.01068,OPT: Open Pre-trained Transformer Language Models,Transformers & Attention,2022
2302.13971,LLaMA: Open and Efficient Foundation Language Models,LLMs & Scaling,2023
2307.09288,Llama 2: Open Foundation and Fine-Tuned Chat Models,LLMs & Scaling,2023
2005.14165,Language Models are Few-Shot Learners (GPT-3),LLMs & Scaling,2020
2303.08774,GPT-4 Technical Report,LLMs & Scaling,2023
2001.08361,Scaling Laws for Neural Language Models,LLMs & Scaling,2020
2203.15556,Training language models to follow instructions,LLMs & Scaling,2022
2209.01933,Scaling Instruction-Finetuned Language Models (Flan),LLMs & Scaling,2022
2210.1161,Emergent Abilities of Large Language Models,LLMs & Scaling,2022
2206.07682,Chinchilla: Training Compute-Optimal Large Language Models,LLMs & Scaling,2022
2112.11446,WebGPT: Browser-assisted question-answering,LLMs & Scaling,2021
2204.05862,Do As I Can: Grounding Language in Robotic Affordances,LLMs & Scaling,2022
2301.13379,Constitutional AI: Harmlessness from AI Feedback,LLMs & Scaling,2023
